City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Sangar,RU,63.9242,127.4739,-15.9,98,100,5.61,overcast clouds
128,Krasnoselkup,RU,65.7,82.4667,-11.94,100,100,7.11,overcast clouds
129,Atar,MR,20.5169,-13.0499,83.55,10,100,13.09,overcast clouds
130,Maltahohe,NA,-24.8333,16.9833,85.05,18,10,13.09,clear sky
131,Sorong,ID,-0.8833,131.25,82.33,78,22,3.0,few clouds
132,Kunzelsau,DE,49.2819,9.6889,47.88,75,75,9.22,broken clouds
133,Zhezkazgan,KZ,47.8043,67.7144,3.18,85,20,11.18,few clouds
134,Devrek,TR,41.2192,31.9558,33.85,91,100,3.11,light snow
135,Saint-Philippe,RE,-21.3585,55.7679,81.99,79,100,18.16,light rain
136,Butaritari,KI,3.0707,172.7902,81.97,71,21,16.64,few clouds
137,Brooks,CA,50.5834,-111.8851,35.58,69,100,13.8,overcast clouds
138,Nueva Gerona,CU,21.8833,-82.8,69.48,63,0,12.39,clear sky
139,Jinchang,CN,38.4953,102.1739,24.26,50,1,2.71,clear sky
140,Uray,RU,60.1247,64.7758,18.27,94,99,7.56,overcast clouds
141,Alice Springs,AU,-23.7,133.8833,89.15,40,75,4.61,broken clouds
142,Touros,BR,-5.1989,-35.4608,86.9,59,84,11.63,broken clouds
143,Deputatskiy,RU,69.3,139.9,-14.89,97,100,3.78,overcast clouds
144,Santa Cruz,BO,-17.8,-63.1667,84.25,65,75,13.8,broken clouds
145,Olhao,PT,37.0286,-7.8411,58.89,63,40,8.05,scattered clouds
146,Faya,SA,18.3851,42.4509,66.31,38,0,7.76,clear sky
147,Bekhtery,UA,46.251,32.2927,27.28,91,100,15.82,light snow
148,Cayenne,GF,4.9333,-52.3333,77.04,91,75,4.61,heavy intensity rain
149,Saint-Pierre,RE,-21.3393,55.4781,82.08,65,100,27.63,overcast clouds
150,New Norfolk,AU,-42.7826,147.0587,63.91,68,100,1.16,overcast clouds
151,Verkhnevilyuysk,RU,63.4453,120.3167,1.51,96,100,5.68,overcast clouds
152,Olafsvik,IS,64.8945,-23.7142,36.99,61,100,10.98,overcast clouds
153,Guerrero Negro,MX,27.9769,-114.0611,57.67,67,0,9.57,clear sky
154,Nabire,ID,-3.3667,135.4833,78.12,91,100,2.75,overcast clouds
155,Avarua,CK,-21.2078,-159.775,78.85,94,100,11.5,overcast clouds
156,Valparaiso,CL,-33.0393,-71.6273,66.47,64,0,3.44,clear sky
157,Cabo San Lucas,MX,22.8909,-109.9124,67.51,73,20,1.99,few clouds
158,Zyryanka,RU,65.75,150.85,-33.3,100,97,5.08,overcast clouds
159,Fairbanks,US,64.8378,-147.7164,39.54,74,100,12.66,overcast clouds
160,Tasiilaq,GL,65.6145,-37.6368,19.56,57,100,9.37,overcast clouds
161,Porto Novo,BJ,6.4965,2.6036,87.62,32,3,10.54,clear sky
162,Tuatapere,NZ,-46.1333,167.6833,45.86,93,94,2.93,overcast clouds
163,Reitz,ZA,-27.8014,28.4273,80.15,26,9,5.88,clear sky
164,Lagoa,PT,39.05,-27.9833,58.41,65,99,6.46,overcast clouds
165,Fredericksburg,US,38.3032,-77.4605,32.59,84,0,0.0,clear sky
166,Kaabong,UG,3.4836,34.1492,80.06,28,100,12.21,overcast clouds
167,Roald,NO,62.5833,6.1333,43.0,81,75,21.85,light rain
168,Khandyga,RU,62.6667,135.6,-23.21,98,100,3.0,overcast clouds
169,Baraya,CO,3.1533,-75.0531,73.2,61,94,2.71,overcast clouds
170,Leshukonskoye,RU,64.8989,45.7622,27.97,93,100,13.4,overcast clouds
171,Zwedru,LR,6.0667,-8.1281,95.58,12,1,5.1,clear sky
172,Mount Gambier,AU,-37.8333,140.7667,66.11,72,100,5.75,overcast clouds
173,Povenets,RU,62.8487,34.8262,31.33,94,100,17.11,light snow
174,Korla,CN,41.7597,86.1469,27.82,53,100,2.73,overcast clouds
175,Yulara,AU,-25.2406,130.9889,84.04,30,0,10.36,clear sky
176,Severo-Kurilsk,RU,50.6789,156.125,22.66,72,88,9.44,overcast clouds
177,Hofn,IS,64.2539,-15.2082,30.22,64,40,9.22,scattered clouds
178,Masuguru,TZ,-11.3667,38.4167,82.89,67,100,8.1,light rain
179,Yerbogachen,RU,61.2767,108.0108,-15.57,100,92,3.65,overcast clouds
180,Kraksaan,ID,-7.7585,113.3962,80.38,84,36,1.01,scattered clouds
