City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
38,Tura,IN,1/22/2022 12:32,25.5198,90.2201,289.95,54,94,1.37
39,Barcelos,PT,1/22/2022 12:29,41.5388,-8.6151,284.97,44,1,4.12
40,Necochea,AR,1/22/2022 12:32,-38.5473,-58.7368,294.84,91,100,2.29
41,Requena,ES,1/22/2022 12:32,39.4883,-1.1004,283.27,58,91,2.26
42,Saint Peter,BB,1/22/2022 12:33,13.25,-59.6167,298.46,60,0,8.61
43,Coyah,GN,1/22/2022 12:33,9.75,-13.4167,303.68,11,0,2.64
44,Moose Factory,CA,1/22/2022 12:33,51.2585,-80.6094,267.15,79,100,8.75
45,Saint George,US,1/22/2022 12:28,37.1041,-113.5841,278.68,54,75,1.34
46,Taoudenni,ML,1/22/2022 12:33,22.6783,-3.9836,298.68,12,54,5.83
47,Punta Arenas,CL,1/22/2022 12:27,-53.15,-70.9167,284.16,66,100,5.14
48,Iqaluit,CA,1/22/2022 12:34,63.7506,-68.5145,255.2,84,75,8.49
49,Umm Kaddadah,SD,1/22/2022 12:34,13.6017,26.6876,299.67,7,7,6.66
50,Jamestown,US,1/22/2022 12:27,42.097,-79.2353,260.92,62,0,0.45
51,College,US,1/22/2022 12:30,64.8569,-147.8028,268.47,86,75,2.06
52,Bengkulu,ID,1/22/2022 12:27,-3.8004,102.2655,299.35,82,59,1.93
53,Varna,BG,1/22/2022 12:34,43.2167,27.9167,277.72,70,75,5.14
54,Ponferrada,ES,1/22/2022 12:34,42.5466,-6.5962,284.38,32,0,1.79
55,Geraldton,AU,1/22/2022 12:31,-28.7667,114.6,301.55,54,0,6.69
56,Meulaboh,ID,1/22/2022 12:28,4.1363,96.1285,299.91,79,10,1.48
57,Sabaudia,IT,1/22/2022 12:34,41.3003,13.0282,285.32,66,19,4.41
58,Busselton,AU,1/22/2022 12:27,-33.65,115.3333,303.2,47,38,5.74
59,Issoire,FR,1/22/2022 12:34,45.55,3.25,274.74,81,100,3.7
60,Guaratuba,BR,1/22/2022 12:34,-25.8828,-48.5747,302.14,60,0,2.58
61,Kungurtug,RU,1/22/2022 12:34,50.5994,97.5228,260.13,97,100,1.08
62,Kruisfontein,ZA,1/22/2022 12:34,-34.0033,24.7314,306.42,38,82,11.38
63,Challans,FR,1/22/2022 12:34,46.8436,-1.8749,278.86,69,9,5.56
64,Khatanga,RU,1/22/2022 12:34,71.9667,102.5,262.88,94,100,6.71
65,Weiser,US,1/22/2022 12:34,44.251,-116.9693,269.83,91,15,0.96
66,Mount Gambier,AU,1/22/2022 12:34,-37.8333,140.7667,296.1,49,98,4.63
67,Virginia Beach,US,1/22/2022 12:32,36.8529,-75.978,272.05,95,100,0.45
68,Caravelas,BR,1/22/2022 12:28,-17.7125,-39.2481,299.84,80,18,3.3
