City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
68,East London,ZA,81.86,clear sky,-33.0153,27.9116,Tu Casa
74,Cidreira,BR,83.95,scattered clouds,-30.1811,-50.2056,Hotel Castelo
77,Menongue,AO,78.19,overcast clouds,-14.6585,17.691,Ritz Lauca
78,Cape Town,ZA,80.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
79,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
80,Chuy,UY,80.22,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
86,Broken Hill,AU,76.71,light rain,-31.95,141.4333,Royal Exchange Hotel
94,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
96,Grand Gaube,MU,81.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
104,Piet Retief,ZA,80.85,clear sky,-27.0071,30.8132,Arabian Nite Guest House
105,Bom Jesus,BR,84.07,few clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
106,Sao Filipe,CV,79.43,overcast clouds,14.8961,-24.4956,Hotel Xaguate
108,Gizo,SB,83.44,clear sky,-8.103,156.8419,Imagination Island
111,Kavaratti,IN,79.45,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
115,Luau,AO,80.42,scattered clouds,-10.7073,22.2247,Casa- Bernardo Cândido
117,Noumea,NC,80.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
118,Antalaha,MG,79.43,moderate rain,-14.9003,50.2788,Hotel Vitasoa
119,Bengkulu,ID,78.73,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
126,Haapiti,PF,76.73,overcast clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
129,Atar,MR,83.55,overcast clouds,20.5169,-13.0499,Oumou Elghoura
130,Maltahohe,,85.05,clear sky,-24.8333,16.9833,Maltahöhe Hotel
131,Sorong,ID,82.33,few clouds,-0.8833,131.25,Waigo Splash Hotel
135,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
136,Butaritari,KI,81.97,few clouds,3.0707,172.7902,Isles Sunset Lodge
141,Alice Springs,AU,89.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
142,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
144,Santa Cruz,BO,84.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
148,Cayenne,GF,77.04,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
149,Saint-Pierre,RE,82.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
154,Nabire,ID,78.12,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
